"BibNumber","MinutesStartAfterNine","FinishMinutes"
1,60,132.47
2,60,130.37
3,60,130.46
4,60,132.7
5,60,141.67
6,60,135.69
8,60,134.12
9,60,NA
10,60,NA
14,60,134.47
15,60,132.18
16,60,138.39
18,60,135.53
19,60,130.44
21,60,139.39
22,60,134.5
23,60,134.62
25,60,145.71
27,60,140.62
30,60,144.38
31,60,137.07
32,60,138.98
34,60,154.91
35,60,140.92
36,60,156.5
37,60,141.75
40,60,148.54
41,60,152.05
43,60,146.47
44,60,142.99
45,60,138.73
46,60,141.52
47,60,136.94
48,60,143.33
75,60,142.06
76,60,143.6
77,60,143.08
78,60,137.85
79,60,148.5
80,60,142.43
81,60,147.95
82,60,147.88
83,60,146.23
84,60,141.39
85,60,145
86,60,148.01
90,60,144.16
102,60.08,154.32
104,60.08,146.75
105,60.07,139.58
107,60,139.91
109,60.07,144.07
110,60.07,142.88
111,60.08,145.21
112,60.05,152.27
113,60.17,144.89
115,60.12,145.2
118,60.08,182.84
119,60.15,149.52
120,60.4,147.69
121,60.1,147.68
122,60.08,141.66
123,60.05,142.42
124,60.12,148.4
125,60.1,145.56
126,60.18,153.81
127,60.1,167.07
128,60.08,153.1
129,60.15,154.88
130,60.08,147.51
131,60.12,145.91
132,81.02,256.58
133,60.22,145.75
134,60.35,149.52
137,60.05,NA
138,60.12,149.86
140,60.15,156.32
141,60.1,153.66
142,60.25,155.4
144,60.22,164.01
146,82.22,265.27
147,60.43,177.2
149,60,157.84
150,60.05,148.99
151,60.15,160.77
152,60.2,158.11
154,60.13,172.46
155,60.17,176.72
156,60.12,152.86
157,60.1,151.73
158,60.13,NA
159,60.07,149.46
160,60.13,154.54
161,60.08,154.74
162,60.42,158.36
164,60.08,151.04
165,60.08,152.47
166,60.15,163.01
168,60.05,156.33
169,60.45,157.57
170,60.07,154.02
172,60.1,160.48
173,60.22,192.43
174,62.62,173.16
176,60.35,158.93
177,60.28,150.5
178,60.07,152.38
179,60.1,166.41
180,60.12,155.01
181,60.12,154.2
182,60.25,224.88
183,60.08,159.64
185,60.08,169.49
186,60.07,152.89
187,60.1,148.04
188,60.2,157.17
189,60.12,159.62
190,60.28,158.25
191,60.15,152.8
193,60.08,151.06
194,60.08,150.1
195,60.1,152.03
196,60.27,185.56
197,60.07,161.4
198,60.17,162.19
199,60.3,153.82
200,60.15,153.5
201,60.22,167.29
203,60.2,152.04
204,60.07,159.62
205,60.12,192.58
206,60.3,158.59
207,60.17,156.56
208,60.08,164.84
209,60.13,157.49
210,60,154.37
211,60.23,160.91
212,60.28,159.38
213,60.2,155.93
214,60.1,154.38
215,60.08,155.41
216,60.47,156.81
217,60.23,150.76
218,60.2,160.47
219,60.1,150.69
221,60.33,160.87
222,60.08,149.4
223,60.37,197.64
224,60.18,157
225,60.15,157.38
226,60.13,164.85
227,60.12,150.58
228,60.22,164.37
229,60.22,154.38
230,60.2,159.06
231,61.77,179.46
232,60.13,161.05
233,60.1,168.04
234,60.13,155.95
